Evaluator,Customer,One-Way Miles,Round-Trip Miles,Drive Time (min), 2026 Cost , Bonus , Total 
Barnhart,Liberty Underground,348.98,697.96,724.2, $506.02 , $-   , $981.02 
Barnhart,Liberty Utilities-Ma,157.97,315.94,312.8, $229.06 , $-   , $454.06 
Barnhart,Liberty Utilities-Ny,252.68,505.36,526.2, $366.39 , $-   , $841.39 
Barnhart,Local 1049,226.11,452.23,592.2, $327.87 , $-   , $802.87 
Barnhart,Local 1298,285.49,570.98,593.7, $413.96 , $-   , $888.96 
Barnhart,Local 15,255.56,511.12,541.1, $370.56 , $-   , $845.56 
Barnhart,Local 158,127.67,255.34,337.6, $185.12 , $-   , $410.12 
Barnhart,Local 17,239.33,478.66,481.3, $347.03 , $-   , $822.03 
Barnhart,Local 60,211.23,422.46,426.9, $306.28 , $-   , $781.28 
Barnhart,Local 731,246.22,492.43,516.7, $357.01 , $-   , $832.01 
Barnhart,Lospano Plumbing And Heating,235.78,471.57,481.9, $341.89 , $-   , $816.89 
Barnhart,Maine Natural Gas (Nga),201.05,402.1,363.2, $291.52 , $-   , $766.52 
Barnhart,Master Plumbers Council Of The City Of New York (Mpc),251.71,503.43,519.7, $364.99 , $-   , $839.99 
Barnhart,Mears Construction (Nga),435.83,871.66,868.8, $631.95 , $-   ," $1,356.95 "
Barnhart,Middleborough Gas & Electric (Nga),145.8,291.61,284.9, $211.42 , $-   , $436.42 
Barnhart,Midway Utility,92.55,185.1,173.5, $134.20 , $-   , $359.20 
Barnhart,Miller Pipeline,606.91,1213.81,1173.5, $880.01 , $-   ," $1,605.01 "
Barnhart,Mirra Company,94.07,188.13,196.7, $136.39 , $-   , $361.39 
Barnhart,Msr Utility Maintenance (Nga),79.55,159.1,152.6, $115.35 , $-   , $115.35 
Barnhart,Mulcare Pipeline Solutions,276.89,553.77,569.5, $401.48 , $-   , $876.48 
Barnhart,Mulholland Welding & Fabrication,35.8,71.59,113.8, $51.90 , $-   , $51.90 
Barnhart,National Field Service Corporation (Nga),239.33,478.66,481.3, $347.03 , $-   , $822.03 
Barnhart,National Fuel,406.1,812.19,826.2, $588.84 , $-   ," $1,313.84 "
Barnhart,Network Infrastructure,265.01,530.02,552.9, $384.26 , $-   , $859.26 
Barnhart,NEUCO,92.28,184.57,173.8, $133.81 , $-   , $358.81 
Barnhart,New Jersey Natural Gas,324.26,648.52,663.6, $470.18 , $-   , $945.18 
Barnhart,Ng Advantage,45.59,91.19,94.6, $66.11 , $-   , $66.11 
Barnhart,Northeast Gas Association,118.71,237.42,229.9, $172.13 , $-   , $397.13 
Barnhart,Northeast Underground (Nga),270.29,540.58,584.3, $391.92 , $-   , $866.92 
Barnhart,Norwich Public Utilities,184.18,368.37,353.4, $267.07 , $-   , $492.07 
Barnhart,Npl Construction (Nga),157.19,314.39,324.5, $227.93 , $-   , $452.93 
Barnhart,Omark Consultants,118.69,237.37,231.8, $172.09 , $-   , $397.09 
Barnhart,Orange & Rockland Utilities,262.34,524.69,521.5, $380.40 , $-   , $855.40 
Barnhart,Parsons (Nga),307.06,614.11,613.9, $445.23 , $-   , $920.23 
Barnhart,Pcm,262.73,525.45,576.6, $380.95 , $-   , $855.95 
Barnhart,Pioneer Inspection,102.31,204.62,193.8, $148.35 , $-   , $373.35 
Barnhart,Pl-Enerserv,117.74,235.49,250.8, $170.73 , $-   , $395.73 
Barnhart,Powell Controls,100,200.01,189.7, $145.01 , $-   , $370.01 
Barnhart,Power And Construction Group Inc.,349.88,699.75,724.8, $507.32 , $-   , $982.32 
Barnhart,"Precision Pipeline Solutions, LLC (PPS)",244.66,489.31,499.3, $354.75 , $-   , $829.75 
Barnhart,Premier Infrastructure & Energy,226.11,452.23,592.2, $327.87 , $-   , $802.87 
Barnhart,Primoris Distribution Svcs (Nga),613.97,1227.94,1199, $890.26 , $-   ," $1,615.26 "
Barnhart,Reconn,285.67,571.34,594.6, $414.22 , $-   , $889.22 
Barnhart,Rev Lng,326.66,653.33,709.2, $473.66 , $-   , $948.66 
Barnhart,Rh White,130.46,260.93,252.8, $189.17 , $-   , $414.17 
Barnhart,Rhode Island Energy,148.85,297.7,286.2, $215.83 , $-   , $440.83 
Barnhart,Riggs Distler & Co.,400.36,800.72,900.7, $580.52 , $-   ," $1,305.52 "
Barnhart,Riley Brothers,125.97,251.94,256.1, $182.66 , $-   , $407.66 
Barnhart,Rj Devco,123.17,246.35,243.4, $178.60 , $-   , $403.60 
Barnhart,Rj Forbes Painting Contractor,143.4,286.81,284.5, $207.94 , $-   , $432.94 
Barnhart,Safeway Construction Enterprises,253.59,507.19,531.5, $367.71 , $-   , $842.71 
Barnhart,Sargis Associates,151.79,303.57,314.3, $220.09 , $-   , $445.09 
Barnhart,Seaford Avenue Corp,270.4,540.81,570.4, $392.09 , $-   , $867.09 
Barnhart,Shaun B. Kalba Enterprises,221.01,442.01,443.4, $320.46 , $-   , $795.46 
Barnhart,Southern Cross (NGA),238.11,476.23,487.5, $345.27 , $-   , $820.27 
Barnhart,Storti Quality Services,231.89,463.78,473.4, $336.24 , $-   , $811.24 
Barnhart,Sullivan Trail,315.59,631.18,678.7, $457.61 , $-   , $932.61 
Barnhart,T&K Harrington,243.67,487.35,555.3, $353.33 , $-   , $828.33 
Barnhart,Tectonic Engineering Consultants,238.71,477.42,479.8, $346.13 , $-   , $821.13 
Barnhart,Titanic Underground Contractors Corp. (Nga),203.1,406.21,480.1, $294.50 , $-   , $769.50 
Barnhart,Tri-Mont Engineering,144.48,288.95,285, $209.49 , $-   , $434.49 
Barnhart,Tucker Mechanical Inc,155.95,311.9,324.9, $226.13 , $-   , $451.13 
Barnhart,Turner Underground Installations,348.31,696.62,728.8, $505.05 , $-   , $980.05 
Barnhart,Ulc Technologies,277.79,555.58,576.6, $402.80 , $-   , $877.80 
Barnhart,Unitil,85.6,171.19,165.5, $124.11 , $-   , $124.11 
Barnhart,Usic (Nga),330.04,660.08,697.7, $478.56 , $-   , $953.56 
Barnhart,Vermont Gas Systems,118.27,236.55,216.5, $171.50 , $-   , $396.50 
Barnhart,Wdf,237.16,474.33,490.5, $343.89 , $-   , $818.89 
Barnhart,Westfield Gas & Electric,117.74,235.48,250.8, $170.72 , $-   , $395.72 
Barnhart,Whispering Pines Development,242.98,485.97,492.6, $352.33 , $-   , $827.33 
Barnhart,Whitewater,130.41,260.83,251.6, $189.10 , $-   , $414.10 
Barnhart,Wsm Construction,158.78,317.56,328.4, $230.23 , $-   , $455.23 
Barnhart,Xpress Natural Gas,194.74,389.49,453.1, $282.38 , $-   , $507.38 
Barnhart,Young Management & Consulting,251.71,503.43,519.7, $364.99 , $-   , $839.99 
Buchinger,A And G Industrial Services,461.91,923.81,831.1, $669.76 , $-   ," $1,394.76 "
